JournalTitle,Year,count
Archives of microbiology,1977,30
Acta tropica,1977,30
Cancer research,1978,30
"Comparative biochemistry and physiology. A, Comparative physiology",1975,29
"Journal of immunology (Baltimore, Md. : 1950)",1976,29
Journal of studies on alcohol,1976,29
Minerva medica,1976,29
Applied and environmental microbiology,1977,29
Gastroenterology,1978,29
The American journal of psychiatry,1978,29
Clinical chemistry,1978,29
The New England journal of medicine,1978,29
"Biokhimiia (Moscow, Russia)",1978,29
Biochemical pharmacology,1975,28
"Science (New York, N.Y.)",1976,28
European journal of pharmacology,1976,28
"Proceedings of the Society for Experimental Biology and Medicine. Society for Experimental Biology and Medicine (New York, N.Y.)",1976,28
Transplantation proceedings,1976,28
International journal of fertility,1976,28
JAMA,1977,28
"Science (New York, N.Y.)",1977,28
Nihon rinsho. Japanese journal of clinical medicine,1978,28
"Philosophical transactions of the Royal Society of London. Series B, Biological sciences",1978,28
International journal of fertility,1978,28
Polish journal of pharmacology and pharmacy,Unknown,27
Ugeskrift for laeger,1976,27
Psychopharmacology,1976,27
Fortschritte der Medizin,1977,27
Aktuelle Gerontologie,1976,27
The Medical journal of Australia,1977,27
Arzneimittel-Forschung,1975,26
Comparative biochemistry and physiology. C: Comparative pharmacology,1975,26
"Biokhimiia (Moscow, Russia)",Unknown,26
Acta tropica,1975,26
Biulleten' eksperimental'noi biologii i meditsiny,1976,26
Meditsinskaia parazitologiia i parazitarnye bolezni,Unknown,26
Farmatsiia,Unknown,26
Die Pharmazie,1976,26
Journal of chromatography,1977,26
Methods in enzymology,1976,26
Naunyn-Schmiedeberg's archives of pharmacology,1977,26
Japanese journal of pharmacology,1977,26
Chest,1978,26
Infection and immunity,1978,26
Advances in experimental medicine and biology,Unknown,26
Biochemistry,1975,25
Life sciences,1975,25
Therapie,Unknown,25
"Journal of applied physiology: respiratory, environmental and exercise physiology",1977,25
Infection and immunity,1976,24
Canadian journal of biochemistry,1976,24
Pflugers Archiv : European journal of physiology,1976,24
Naunyn-Schmiedeberg's archives of pharmacology,1976,24
Cancer research,1977,24
Experientia,1977,24
Journal of molecular biology,1977,24
Antibiotiki,1977,24
The Journal of pharmacology and experimental therapeutics,1978,24
Methods in enzymology,1978,24
Archives internationales de pharmacodynamie et de therapie,1978,24
Recent advances in studies on cardiac structure and metabolism,1975,23
"Current therapeutic research, clinical and experimental",1976,23
"Philosophical transactions of the Royal Society of London. Series B, Biological sciences",1975,23
FEBS letters,1975,23
Bulletin europeen de physiopathologie respiratoire,Unknown,23
