FirstAuthor,count
Kojima,49
Agarwal,49
Franklin,48
Nagai,48
Lane,48
Ziegler,48
Booth,48
Chiu,48
Otto,48
Yamashita,48
Horwitz,48
Ahmed,48
Mehta,48
McIntosh,48
Griffith,48
Gottlieb,47
Crow,47
Glass,47
Lutz,47
Riley,47
Blair,47
Greenwood,47
Yamazaki,47
Chu,47
Voigt,47
Hofmann,47
Sakamoto,47
Weiner,47
Marsh,46
Little,46
Craig,46
Nakano,46
Arai,46
Haas,46
McLean,46
Norman,46
Shibata,46
Yeh,46
Saunders,46
Sutherland,46
Rice,46
Higgins,46
Sherman,46
Han,46
Harper,46
Chatterjee,45
Jacob,45
Horty,45
Tucker,45
Hasegawa,45
Rowe,45
Erickson,45
Kitamura,45
Fujiwara,45
Ball,45
DiPaolo,45
Ghosh,45
Christiansen,45
Schumacher,45
Grossman,45
Datta,44
Ray,44
Beckett,44
Carpenter,44
Wolfe,44
Kohn,44
Fuchs,44
Cohn,44
Imai,44
Stevenson,44
Meister,44
Chou,44
Tsuchiya,44
Winter,44
Schrader,44
Brunner,44
Tsuji,44
Curtis,44
Bender,43
O'Connor,43
Bregetzer,43
Petrov,43
Page,43
Donaldson,43
Andrews,43
Sinha,43
Persson,43
Srivastava,43
Taniguchi,42
Gerber,42
Chandra,42
Ahmad,42
Barnett,42
Miura,42
Bergman,42
Popescu,42
Hammond,42
Malik,42
Hopkins,42
Endo,42
Baumann,42
Hay,42
Sachs,41
Walton,41
Meier,41
Köhler,41
Laskin,41
Newton,41
Rhodes,41
Fitzgerald,41
Muller,41
Sugiura,41
Kuznetsov,41
Quinn,41
Tobin,41
Orr,41
Allison,41
Nakanishi,41
Horn,41
Beal,41
Kozlov,41
Szabó,41
Robbins,40
Browne,40
Morton,40
Larson,40
Moran,40
Itoh,40
Sun,40
Lindahl,40
Dubois,40
Dietz,40
Nishimura,40
Schroeder,40
Fukuda,40
Bowen,40
Buchanan,40
Salling,40
Frost,40
Kerr,40
Holmgren,40
Kane,40
Diamond,40
Ehrlich,40
Law,40
Gibbs,40
Morita,40
Lowe,39
Hamada,39
Kolb,39
Kuntz,39
Uchida,39
Kessler,39
François,39
Roche,39
Masuda,39
